cod_distrito,distrito,cod_barrio,barrio,año,unidad_indicador,indicador_completo,valor_indicador
13.0,Puente de Vallecas,133.0,Palomeras Bajas,2024,Habitantes,Número Habitantes,41755
13.0,Puente de Vallecas,133.0,Palomeras Bajas,2023,Hogares,Total hogares,15269
13.0,Puente de Vallecas,134.0,Palomeras Sureste,2024,Habitantes/Ha.,Población densidad (hab./Ha.),"142,8167021"
13.0,Puente de Vallecas,134.0,Palomeras Sureste,2024,Habitantes,Número Habitantes,44396
13.0,Puente de Vallecas,134.0,Palomeras Sureste,2023,Hogares,Total hogares,16410
13.0,Puente de Vallecas,135.0,Portazgo,2024,Habitantes/Ha.,Población densidad (hab./Ha.),"238,8661367"
13.0,Puente de Vallecas,135.0,Portazgo,2024,Habitantes,Número Habitantes,29746
13.0,Puente de Vallecas,135.0,Portazgo,2023,Hogares,Total hogares,10941
13.0,Puente de Vallecas,136.0,Numancia,2024,Habitantes/Ha.,Población densidad (hab./Ha.),"275,59894"
13.0,Puente de Vallecas,136.0,Numancia,2024,Habitantes,Número Habitantes,50961
13.0,Puente de Vallecas,136.0,Numancia,2023,Hogares,Total hogares,18715
14.0,Moratalaz,141.0,Pavones,2024,Habitantes/Ha.,Población densidad (hab./Ha.),"91,19540458"
14.0,Moratalaz,141.0,Pavones,2024,Habitantes,Número Habitantes,9208
14.0,Moratalaz,141.0,Pavones,2023,Hogares,Total hogares,3298
14.0,Moratalaz,142.0,Horcajo,2024,Habitantes/Ha.,Población densidad (hab./Ha.),"86,08392546"
14.0,Moratalaz,142.0,Horcajo,2024,Habitantes,Número Habitantes,6421
14.0,Moratalaz,142.0,Horcajo,2023,Hogares,Total hogares,2200
14.0,Moratalaz,143.0,Marroquina,2024,Habitantes/Ha.,Población densidad (hab./Ha.),"147,3548964"
14.0,Moratalaz,143.0,Marroquina,2024,Habitantes,Número Habitantes,26378
14.0,Moratalaz,143.0,Marroquina,2023,Hogares,Total hogares,10837
14.0,Moratalaz,144.0,Media Legua,2024,Habitantes/Ha.,Población densidad (hab./Ha.),"178,048048"
14.0,Moratalaz,144.0,Media Legua,2024,Habitantes,Número Habitantes,17787
14.0,Moratalaz,144.0,Media Legua,2023,Hogares,Total hogares,7142
14.0,Moratalaz,145.0,Fontarrón,2024,Habitantes/Ha.,Población densidad (hab./Ha.),"186,605847"
14.0,Moratalaz,145.0,Fontarrón,2024,Habitantes,Número Habitantes,18000
14.0,Moratalaz,145.0,Fontarrón,2023,Hogares,Total hogares,6957
14.0,Moratalaz,146.0,Vinateros,2024,Habitantes/Ha.,Población densidad (hab./Ha.),"291,7340067"
14.0,Moratalaz,146.0,Vinateros,2024,Habitantes,Número Habitantes,17329
14.0,Moratalaz,146.0,Vinateros,2023,Hogares,Total hogares,7244
15.0,Ciudad Lineal,151.0,Ventas,2024,Habitantes/Ha.,Población densidad (hab./Ha.),"163,2989368"
15.0,Ciudad Lineal,151.0,Ventas,2024,Habitantes,Número Habitantes,52223
15.0,Ciudad Lineal,151.0,Ventas,2023,Hogares,Total hogares,20841
15.0,Ciudad Lineal,152.0,Pueblo Nuevo,2024,Habitantes/Ha.,Población densidad (hab./Ha.),"284,0375992"
15.0,Ciudad Lineal,152.0,Pueblo Nuevo,2024,Habitantes,Número Habitantes,65874
15.0,Ciudad Lineal,152.0,Pueblo Nuevo,2023,Hogares,Total hogares,24463
15.0,Ciudad Lineal,153.0,Quintana,2024,Habitantes/Ha.,Población densidad (hab./Ha.),"370,1009542"
15.0,Ciudad Lineal,153.0,Quintana,2024,Habitantes,Número Habitantes,26762
15.0,Ciudad Lineal,153.0,Quintana,2023,Hogares,Total hogares,10680
15.0,Ciudad Lineal,154.0,Concepción,2024,Habitantes/Ha.,Población densidad (hab./Ha.),"251,2247432"
15.0,Ciudad Lineal,154.0,Concepción,2024,Habitantes,Número Habitantes,22256
15.0,Ciudad Lineal,154.0,Concepción,2023,Hogares,Total hogares,9241
15.0,Ciudad Lineal,155.0,San Pascual,2024,Habitantes/Ha.,Población densidad (hab./Ha.),"180,6687565"
15.0,Ciudad Lineal,155.0,San Pascual,2024,Habitantes,Número Habitantes,19019
15.0,Ciudad Lineal,155.0,San Pascual,2023,Hogares,Total hogares,7838
15.0,Ciudad Lineal,156.0,San Juan Bautista,2024,Habitantes/Ha.,Población densidad (hab./Ha.),"129,7981797"
15.0,Ciudad Lineal,156.0,San Juan Bautista,2024,Habitantes,Número Habitantes,13120
15.0,Ciudad Lineal,156.0,San Juan Bautista,2023,Hogares,Total hogares,4967
15.0,Ciudad Lineal,157.0,Colina,2024,Habitantes/Ha.,Población densidad (hab./Ha.),"121,6723245"
15.0,Ciudad Lineal,157.0,Colina,2024,Habitantes,Número Habitantes,6810
15.0,Ciudad Lineal,157.0,Colina,2023,Hogares,Total hogares,2726
15.0,Ciudad Lineal,158.0,Atalaya,2024,Habitantes/Ha.,Población densidad (hab./Ha.),"67,17557252"
15.0,Ciudad Lineal,158.0,Atalaya,2024,Habitantes,Número Habitantes,1672
15.0,Ciudad Lineal,158.0,Atalaya,2023,Hogares,Total hogares,604
15.0,Ciudad Lineal,159.0,Costillares,2024,Habitantes/Ha.,Población densidad (hab./Ha.),"156,2429933"
